CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
MB8D,1/1/2019,18.47590669,18.03614871,1.217875864,33.88748948
,1/2/2019,18.46545037,18.17712863,0.95154092,33.66134071
,1/3/2019,18.63086414,18.19699057,1.109920571,33.25268642
,1/4/2019,18.17730085,18.19440134,1.98970071,30.01531943
,1/5/2019,16.43445337,18.19815683,0.658570235,24.62407645
,1/6/2019,15.45722775,18.21710261,0.73418261,32.65016452
,1/7/2019,14.57949785,18.26243822,0.473496286,33.98152145
,1/8/2019,14.31548405,18.30516013,0.461711575,34.01501576
,1/9/2019,14.56114093,18.29580863,1.220856832,33.53465843
,1/10/2019,13.23691448,18.45199434,2.206289286,34.53621403
,1/11/2019,11.87957056,18.71746318,1.135402406,34.80391963
,1/12/2019,12.44358166,18.65866478,1.383654326,34.91771444
,1/13/2019,12.81621424,18.03509299,1.400858286,34.91901255
,1/14/2019,12.02947958,17.66722926,2.129233837,34.8957537
,1/15/2019,12.03710266,17.50692248,2.811181764,34.74345986
,1/16/2019,10.82027217,16.00568676,2.196941008,31.11296511
,1/17/2019,11.8772674,16.9038345,1.122574122,33.37824122
,1/18/2019,13.16993419,17.08878374,1.277870054,33.45321687
,1/19/2019,14.67718641,16.30544821,3.284357185,33.57380501
,1/20/2019,11.86159313,17.67932336,4.498173138,33.90104198
,1/21/2019,12.83405328,17.39789295,6.292649021,33.84691207
,1/22/2019,14.2044936,16.09224443,5.363484065,32.25871046
,1/23/2019,12.34444626,16.40983065,2.45253703,32.83867343
,1/24/2019,11.96647163,16.63543216,1.042685221,33.42691851
,1/25/2019,11.78461246,16.63245511,0.784689734,33.66682482
,1/26/2019,11.66275958,16.55011559,0.419808102,33.65395037
,1/27/2019,11.57820503,16.1574223,1.493294291,33.60418272
,1/28/2019,10.66512255,16.36396897,2.632045691,33.67607292
,1/29/2019,13.23691448,18.45199434,2.206289286,34.53621403
,1/30/2019,11.87957056,18.71746318,1.135402406,34.80391963
,1/31/2019,12.44358166,18.65866478,1.383654326,34.91771444
,2/1/2019,11.54031436,15.38462834,2.794857721,33.33806547
,2/2/2019,12.53378812,14.6096166,1.425535516,32.61634461
,2/3/2019,14.23121099,15.09657145,1.087644089,32.16414738
,2/4/2019,18.17730085,18.19440134,1.98970071,30.01531943
,2/5/2019,15.89231829,15.94420727,0.504314073,32.09260297
,2/6/2019,16.74333413,16.0666521,1.207948936,32.49308427
,2/7/2019,17.90531627,16.29113817,2.649621785,33.192149
,2/8/2019,18.12879141,16.60396806,3.844243159,33.32623339
,2/9/2019,15.85300259,15.97356888,7.951517642,33.17104451
,2/10/2019,15.54595033,15.60091162,8.611744781,33.16631603
,2/11/2019,16.79406381,15.65844214,7.419340889,33.12237151
,2/12/2019,17.60829091,15.87529767,6.697549383,32.85422325
,2/13/2019,16.16462417,16.43576487,8.324270209,31.77464819
,2/14/2019,15.73503721,16.29988853,9.582365096,33.13771502
,2/15/2019,16.72218394,16.41249045,9.650002559,33.16584698
,2/16/2019,17.37460796,16.56849297,5.673768342,32.86026049
,2/17/2019,18.23378205,16.85470899,4.761560857,32.84082166
,2/18/2019,17.90290062,17.20886056,6.798438172,31.76543752
,2/19/2019,17.00160352,16.47438296,10.83335561,32.73713096
,2/20/2019,17.61148302,16.20555409,15.70331605,33.10605748
,2/21/2019,18.7332979,16.42412273,6.502635558,33.11709642
,2/22/2019,19.46868928,16.63318825,3.420684238,33.11378638
,2/23/2019,20.18161496,17.01875782,2.690891325,33.10956462
,2/24/2019,14.2044936,16.09224443,5.363484065,32.25871046
,2/25/2019,19.37448661,17.67176978,4.190711836,33.11714681
,2/26/2019,18.3934896,17.27875964,2.228919496,33.69761801
,2/27/2019,18.84398548,17.41275422,1.372856547,33.65261014
,2/28/2019,18.53045599,17.96012417,0.923932588,33.63468981
,3/1/2019,18.74376885,17.93075776,0.638685114,33.53140783
,3/2/2019,20.58112224,17.89264401,0.700111985,33.41423655
,3/3/2019,21.2844371,17.88120572,0.789360948,33.26142502
,3/4/2019,19.67067949,18.01529606,1.459709356,32.06648644
,3/5/2019,16.43266435,17.98783517,1.716961394,32.9227639
,3/6/2019,12.4013135,17.98177743,1.92236086,32.97470133
,3/7/2019,10.25762057,17.95319001,0.718074113,33.93046586
,3/8/2019,11.19061383,17.9361376,0.579301553,34.00024764
,3/9/2019,13.68419429,17.56608868,0.444119384,33.78897524
,3/10/2019,16.70985822,16.65932218,0.259713067,33.47604084
,3/11/2019,19.36856182,16.35633294,0.340836787,32.74553982
,3/12/2019,19.83634559,17.0281109,1.322773761,32.42945941
,3/13/2019,20.03158585,18.49979647,2.913783702,32.25940704
,3/14/2019,20.07634489,18.89472047,3.022053609,32.15858754
,3/15/2019,20.48866669,19.34484402,1.557016628,32.223996
,3/16/2019,19.00561015,19.50149663,2.947816109,32.58817196
,3/17/2019,17.61192846,19.12738824,2.671269134,32.57350318
,3/18/2019,17.14259926,18.75300916,3.684485535,32.59070826
,3/19/2019,16.78475388,18.47730374,5.410914063,32.61984603
,3/20/2019,16.16894484,18.29026922,4.357576261,32.7201705
,3/21/2019,16.49870904,18.16426698,4.275341322,32.72168922
,3/22/2019,16.60858993,18.37049762,4.5158315,33.32389847
,3/23/2019,16.96617842,18.48638837,4.164031516,33.6213762
,3/24/2019,17.87577852,18.48682483,4.479546507,33.50098197
,3/25/2019,18.97180255,18.62094124,4.747810682,33.07530602
,3/26/2019,18.67714159,18.75949899,4.69688343,32.97012202
,3/27/2019,18.26402982,18.74071733,7.726671875,32.92823346
,3/28/2019,18.62563753,18.53237955,8.572079937,32.79165967
,3/29/2019,19.21283857,18.74686559,8.992582341,32.71378239
,3/30/2019,20.22088798,19.05120071,10.07181158,33.07580026
,3/31/2019,20.02721874,19.58538477,10.31778721,32.76533604
,4/1/2019,18.09426387,19.4550999,10.80033465,33.08635155
,4/2/2019,18.04049738,19.03891778,10.40742135,33.43024524
,4/3/2019,18.21778528,19.09438682,9.897981246,33.46147617
,4/4/2019,18.90225903,19.28142786,11.46455697,33.70469761
,4/5/2019,19.7175715,19.41566475,10.68589862,33.53751405
,4/6/2019,20.51961414,19.47909323,9.835566799,33.04468552
,4/7/2019,21.20124515,19.64288179,10.92833686,33.09858036
,4/8/2019,21.82378085,19.99839099,12.58683217,33.223924
,4/9/2019,21.91616933,20.19054159,10.68394939,33.52163935
,4/10/2019,22.60906577,20.51686756,7.305395822,32.63487609
,4/11/2019,23.0757575,20.15084688,6.913069814,32.87833007
,4/12/2019,22.86001007,20.28525178,7.913358967,33.23249189
,4/13/2019,22.87346148,20.75837962,8.794414242,32.76014296
,4/14/2019,22.71455534,20.89973879,9.743423621,33.45850341
,4/15/2019,21.87160556,21.32620382,4.343737344,32.61728549
,4/16/2019,21.46709379,19.81917779,2.48483412,34.05357361
,4/17/2019,21.72403177,19.95811876,1.738648256,34.04894797
,4/18/2019,22.09816289,20.1036071,2.879670843,34.04781977
,4/19/2019,21.77613743,20.15821075,3.394309913,33.84638596
,4/20/2019,20.46812089,20.32907701,2.400630901,32.20294412
,4/21/2019,20.09558066,19.47385001,0.964989601,34.11604404
,4/22/2019,20.27762938,19.10122156,1.125637503,34.59614531
,4/23/2019,20.68085106,19.56904078,1.026128207,34.48656575
,4/24/2019,21.03761808,20.25824118,1.009424116,34.38538361
,4/25/2019,21.34312296,20.51505693,1.85217041,34.33498414
,4/26/2019,22.20041434,20.7505525,1.736840283,34.09260384
,4/27/2019,22.59660451,20.54394897,1.055630226,33.73322407
,4/28/2019,23.21544886,20.83111946,1.009599353,33.77337646
,4/29/2019,23.3852129,21.54693357,1.020767664,33.76768668
,4/30/2019,23.825219,21.89382664,1.495071905,33.75701729
,5/1/2019,24.13392854,22.93168481,2.443434233,33.73863761
,5/2/2019,24.60250998,23.14309017,2.440349932,33.4927055
,5/3/2019,25.4034706,23.39451432,2.077214564,33.12576501
,5/4/2019,25.42372362,23.96351107,2.970461835,33.12113611
,5/5/2019,25.54788431,24.25553711,4.04771625,32.92041945
,5/6/2019,26.0230794,24.26960293,3.776543826,33.22139279
,5/7/2019,26.39230251,24.61482803,3.315336128,33.04023631
,5/8/2019,26.40823515,25.39918598,6.977899015,32.75385984
,5/9/2019,26.06856656,25.87527315,11.93408579,33.19117975
,5/10/2019,26.01517185,26.10183954,9.647359014,33.19633985
,5/11/2019,26.26776028,26.05209716,7.598004023,32.95498371
,5/12/2019,26.53075631,26.10955246,6.883008301,33.50945648
,5/13/2019,26.70388722,26.09491189,4.408560216,33.67328978
,5/14/2019,26.3975819,25.7515676,3.195031643,33.71994877
,5/15/2019,26.1603473,25.626134,2.810330331,33.85613648
,5/16/2019,26.67067504,26.10366726,2.166901395,33.8544178
,5/17/2019,26.59726469,26.59162283,1.536039179,33.83086554
,5/18/2019,26.53739715,27.03894711,2.907566796,33.48169899
