CTD,Date,T-Surface,T-Bottom,S-Surface,S-Bottom
MS3A,1/1/2019,20.13839459,19.98258718,6.99183619,9.875884851
,1/2/2019,20.07488998,19.7538952,5.797744473,13.53253535
,1/3/2019,19.8860716,20.27189573,5.493587315,14.39396691
,1/4/2019,19.20911503,19.46796465,6.093908131,6.999584059
,1/5/2019,15.7940133,16.7060196,7.332376977,12.56754412
,1/6/2019,14.39901721,16.64907726,8.217404107,15.77237157
,1/7/2019,14.91707095,16.90791615,7.228597919,15.45033892
,1/8/2019,16.07485855,16.35505613,6.575581094,11.72104343
,1/9/2019,15.95882789,17.45455941,10.50658538,21.85692787
,1/10/2019,13.84561292,17.68203457,21.26857154,28.49422773
,1/11/2019,12.28608179,14.93523224,16.75041284,25.99878136
,1/12/2019,12.85080226,12.2234724,5.793594897,19.54223001
,1/13/2019,13.96190965,13.76349139,7.375751197,16.53395228
,1/14/2019,13.31866256,15.91235403,18.07149903,24.3718845
,1/15/2019,12.81236176,15.99563336,22.393749,25.26518718
,1/16/2019,10.66090604,14.31517204,17.03176657,23.07061823
,1/17/2019,11.88249966,14.27324514,12.17138886,23.80345217
,1/18/2019,14.26212943,13.18159389,11.96606417,21.81996099
,1/19/2019,15.65587282,13.96115454,12.32192047,19.26632611
,1/20/2019,11.35358346,12.56552382,17.27657584,21.16991178
,1/21/2019,12.03849133,12.14070574,18.04630216,18.5475684
,1/22/2019,14.43475163,14.70412099,14.37706745,15.02511013
,1/23/2019,12.25583371,14.25809205,16.78519515,20.61172247
,1/24/2019,10.82789008,14.07507916,16.22070169,21.5257353
,1/25/2019,11.08481908,13.1567746,10.99831585,19.60342868
,1/26/2019,11.38811564,13.82517835,10.97871999,20.50720716
,1/27/2019,12.40970381,12.74180845,11.33797419,16.90018614
,1/28/2019,10.15272959,11.53291206,11.77781065,20.80312657
,1/29/2019,12.81236176,15.99563336,22.393749,25.26518718
,1/30/2019,10.66090604,14.31517204,17.03176657,23.07061823
,1/31/2019,11.88249966,14.27324514,12.17138886,23.80345217
,2/1/2019,11.31963062,10.39170265,9.420419693,14.66670068
,2/2/2019,13.11275415,11.42008205,8.830811004,13.66266235
,2/3/2019,16.12167629,12.9123613,8.169295271,20.65388048
,2/4/2019,19.20911503,19.46796465,6.093908131,6.999584059
,2/5/2019,17.69842116,14.11046898,9.019672175,18.33993991
,2/6/2019,18.62362782,16.70551352,8.203261097,13.28871353
,2/7/2019,19.3079803,18.60181721,7.385590891,9.602653027
,2/8/2019,18.45752406,17.34829136,10.35082708,16.21846557
,2/9/2019,13.8683598,14.57563881,18.03687425,23.16062347
,2/10/2019,14.06349409,13.67809904,12.67422104,18.89935899
,2/11/2019,15.75573321,13.94979318,9.391255816,16.646427
,2/12/2019,17.06709862,15.97715652,10.13680665,13.43972512
,2/13/2019,14.87714899,15.24041772,14.64161611,24.06073459
,2/14/2019,14.3439941,15.42504867,16.4795994,22.57527685
,2/15/2019,15.55034328,15.1984541,15.26885712,16.67386683
,2/16/2019,18.31874061,16.20891599,14.48283009,15.95285304
,2/17/2019,19.15097515,17.80988749,14.59928815,16.0216548
,2/18/2019,18.75601395,17.54306857,16.15437186,20.03892779
,2/19/2019,16.3400445,16.25060157,20.00719941,22.25765268
,2/20/2019,17.55422505,16.90713429,12.67746389,17.753111
,2/21/2019,19.42492851,18.80155071,10.98634446,16.84656604
,2/22/2019,20.52740002,20.3030084,10.88775015,14.15840773
,2/23/2019,21.20565049,20.95589884,10.12753089,11.16158672
,2/24/2019,14.43475163,14.70412099,14.37706745,15.02511013
,2/25/2019,17.31416663,17.62703872,15.43806008,22.53949332
,2/26/2019,17.02531584,16.71276887,11.48482688,17.75412091
,2/27/2019,19.04453341,16.57788404,7.287872632,14.88702619
,2/28/2019,20.2712667,17.43477511,7.155664146,14.91642825
,3/1/2019,20.9125646,19.20210703,7.673868199,11.52757867
,3/2/2019,21.95417603,19.97070678,6.754879773,12.55317529
,3/3/2019,22.00284044,20.84778857,7.096939822,11.99420762
,3/4/2019,18.74583069,18.78315934,10.10451812,19.95520083
,3/5/2019,14.74932257,17.53983037,19.19279782,24.66927067
,3/6/2019,12.93682524,13.51229449,20.78169775,21.19430359
,3/7/2019,11.53102144,12.19885389,4.803079754,20.01116665
,3/8/2019,14.18643204,12.25839365,4.227100094,13.5385772
,3/9/2019,16.4602143,14.75443204,4.444495042,7.61400036
,3/10/2019,20.19742831,17.35523554,3.839850197,7.35859255
,3/11/2019,22.02473052,16.57621415,2.867412498,13.70842302
,3/12/2019,20.37588724,16.31241389,4.025910228,19.97608225
,3/13/2019,19.60634971,18.33280341,5.291519105,12.28267845
,3/14/2019,20.7060461,20.51220401,5.856502394,6.30486393
,3/15/2019,21.09131885,20.98972003,6.284322759,10.01110371
,3/16/2019,18.13666105,19.07992514,13.09674847,19.66637834
,3/17/2019,16.15592349,18.73907057,16.05902962,22.37469514
,3/18/2019,16.72385152,18.03701711,19.94432306,22.01594273
,3/19/2019,16.29009465,16.88778063,21.22495802,21.81369996
,3/20/2019,16.10201685,18.26403602,20.08824523,23.3676726
,3/21/2019,16.26585817,17.48559332,20.22352401,22.70991532
,3/22/2019,17.08905856,17.25050942,22.74488044,23.96601709
,3/23/2019,16.84158957,17.79289985,21.21599801,24.32818143
,3/24/2019,17.93394462,18.24011326,17.10061574,22.94978007
,3/25/2019,19.26070078,18.58971071,14.36085689,21.10924705
,3/26/2019,19.44656062,18.85426847,16.34590578,22.08339588
,3/27/2019,18.09644453,18.09021537,22.85048668,27.02248955
,3/28/2019,18.51068759,18.5793066,19.58709129,26.42840385
,3/29/2019,18.81520613,19.56683437,18.1916848,23.66259352
,3/30/2019,20.17246294,19.93091035,16.95456135,20.77756365
,3/31/2019,20.2551566,20.19327768,18.28303607,21.59362237
,4/1/2019,18.13484391,19.65310772,22.45943896,25.84768732
,4/2/2019,17.56391724,18.99352558,22.50063848,25.51271836
,4/3/2019,17.28123069,18.99364519,22.36505723,25.55823771
,4/4/2019,18.42907612,18.55879744,17.83697224,20.53373194
,4/5/2019,20.18342312,19.14344716,14.84214143,20.06880132
,4/6/2019,21.43567165,19.96647223,13.38553973,20.15288003
,4/7/2019,22.39787181,21.45164831,14.660326,17.85829393
,4/8/2019,22.64917382,22.53440523,15.96520642,16.67621668
,4/9/2019,23.04237604,22.7682577,14.67328846,17.41163834
,4/10/2019,23.61387483,22.19539277,14.76706155,22.18612107
,4/11/2019,23.5099349,23.06380335,16.37883377,21.98902678
,4/12/2019,24.01166034,23.90279349,17.05472239,18.66943709
,4/13/2019,23.62807886,23.61308463,17.9183588,18.38551307
,4/14/2019,23.81386677,23.91714358,16.5270733,17.84612962
,4/15/2019,21.04875588,21.30324475,16.41223482,17.51982927
,4/16/2019,19.95887645,21.65475464,12.77289768,19.29225874
,4/17/2019,21.22844442,21.52073367,10.86698214,15.6487087
,4/18/2019,21.88938626,21.90438747,9.760325392,11.08455392
,4/19/2019,22.17877189,22.21269059,10.66821114,10.76099674
,4/20/2019,19.86433045,19.94100642,12.0984985,12.28852157
,4/21/2019,18.83564512,19.02416317,13.63438074,16.06864651
,4/22/2019,20.28241396,19.62140886,12.14299047,15.87833869
,4/23/2019,21.57084807,19.91911205,10.58580267,14.62256893
,4/24/2019,21.99083463,21.21441086,7.953692675,13.48129789
,4/25/2019,22.27168655,22.40068316,7.069301665,9.763041576
,4/26/2019,23.03185264,22.49144777,7.650707801,11.99399165
,4/27/2019,21.55887127,21.98625135,9.725291411,20.4590613
,4/28/2019,22.94946464,23.50974258,9.259686152,17.71374337
,4/29/2019,23.39730326,24.29079684,8.495509227,14.46818646
,4/30/2019,24.21063097,25.03640072,6.250107308,11.19174314
,5/1/2019,24.96684273,25.63721625,5.971395353,7.63556997
,5/2/2019,25.44125835,25.14798435,5.736238003,10.4195535
,5/3/2019,26.51002169,24.59051784,5.960036298,16.02475448
,5/4/2019,26.29247212,25.4361159,6.410596629,14.35765167
